path_or_item,classification,confidence,basis
C:\dev\mobipeg (upstream FFmpeg+mobiclip fork checkout),3DS required,verified,"actual encoder/decoder source; git remote + log traced directly"
C:\dev\mobipeg\x264-src,3DS required,verified,"vendored patched x264 source used to build the linked ffmpeg.exe; no separate .git in this location"
mobipeg/project_state/patched_x264_source/x264-src,3DS required,verified,"the authoritative separate clone of quatric/x264, per MOBIPEG_PROJECT_STATE.md"
libavcodec/mobiclip.c decoder (upstream FFmpeg fork),Shared with 3DS,verified,"decoder for the MobiClip bitstream itself; format-defined, not platform-branched -- traced via setup_qtables() and quant table reads during Step B/C this session"
libavcodec/libx264.c wrapper + patched x264 encoder (macroblock.c/h, cavlc.c),3DS required,verified,"this session's entire Step A/B/C + SIMD + QP-calibration work lives here; directly edited and validated across many phases"
MobiClip VLC/quant tables (vx2_table*, mobi_q4, mobi_q8, mobi_q8_chroma, mobi_zigzag*),Shared with 3DS,verified,"format-defined tables, not platform-specific -- read and reused verbatim across Step A/B/C validation harnesses; these are correctly NOT platform-branched, distinct from the product-surface format selector below which IS platform-specific"
Re-quantization overshoot guard ([-64,319] clamp) in mobi_quant_4x4 reconstruction,Shared with 3DS,verified,"comment in source explicitly attributes this to real Wii hardware behavior (WiiLink24 lineage per CREDITS_MOBICLIP.md), and must be preserved for correctness on any target since it reproduces the decoder's own lookup-table bounds -- a shared correctness requirement, not a removable Wii-only feature"
C:\dev\mobipeg\encode.py (CLI backend),3DS required (needs narrowing),verified,"read in full: argparse CLI with fmt in {decode,mo,moflex,moflex3d,mods}. moflex/moflex3d are the 3DS-required paths; mo and mods are NOT -- see rows below. This is the actual, working precedent for 'thin GUI wrapper, subprocess + argument array, no encoder logic in the frontend' that the new GUI plan should follow"
C:\dev\mobipeg\encode_gui.py (Tkinter GUI, source found),Wii/DS/3DS mixed -- needs narrowing,verified,"252-line Tkinter app, confirmed via mobipeg-gui.spec to be the actual source of the packaged mobipeg-gui.exe/.app. Contains the literal format selector this product must not have (see next row). This is NOT unknown-provenance -- do not reverse-engineer the binary, use this source directly as reference only, per instruction"
encode_gui.py:68-73 format selector (Wii Mobiclip .mo / 3DS Mobiclip .moflex 2D / 3DS Mobiclip .moflex 3D / DS Mobiclip .mods),Mixed -- contains Wii-only and DS-only entries,verified,"exact source quoted in CURRENT_GUI_STATUS.md; defaults to Wii. This is the concrete platform selector the original audit request anticipated and my first pass wrongly concluded did not exist"
""fmt=mo"" path (mobiclip_mo demuxer, 624x352 scale),Wii only,likely,"encode.py confirms demuxer name and resolution; GUI explicitly labels this 'Wii Mobiclip .mo'; 624x352 does not match any Nintendo handheld screen, consistent with a Wii SD-video target"
""fmt=moflex"" path (moflex demuxer, 400x240 scale, 2D),3DS required,verified,"this session's entire encoder investigation (Candidate B, Step A/B/C, all SIMD/QP work) targets exactly this resolution and container"
""fmt=moflex3d"" path (moflex demuxer, 400x240 per eye, side-by-side stereoscopic),3DS required -- currently OUT OF SCOPE of this planning pass,verified,"the 3DS's autostereoscopic 3D screen is unique to that console; encode_gui.py wires a dedicated right-eye input field for this mode specifically. The GUI/CLI architecture drafted so far only covers flat 2D output -- this needs a deliberate scope decision (include stereoscopic 3D in v1 or explicitly defer), not a silent omission"
""fmt=mods"" path (mods demuxer, 256x192 scale),DS/DSi only,likely,"256x192 is the exact native DS/DSi screen resolution; GUI explicitly labels this 'DS Mobiclip .mods'"
libavcodec/vx.c, vx.h, vx_audio.c, vx_audio_enc.c, vx_cavlc_vlc.h, vx_enc.c,Unknown,unresolved,"substantial new codec (~3,500 lines total) added by commit e562b22e5e alongside the Wii/DS/3DS/mods work. Not referenced anywhere in encode.py or encode_gui.py -- no confirmed current UI exposure found. Origin/target platform not determined this pass. Do NOT classify as removable or required without tracing actual call sites first"
libavcodec/rvid.c + libavformat/rvid.c, rvidenc.c,Unknown,unresolved,"same commit, same caveat as VX above -- no reference found in encode.py/encode_gui.py, origin not determined"
libavformat/kwzdec.c,Unknown (likely 3DS-adjacent),unresolved,"KWZ is the Flipnote Studio 3D file format (a real 3DS software title), so this is plausibly 3DS-relevant, but not wired into the current GUI/CLI surface -- confirm before including or excluding"
libavformat/ppmflipdec.c,Unknown (likely DSi-only),unresolved,"PPM is the original DSi Flipnote Studio format -- plausibly DS-generation, not 3DS -- but not traced to a call site this pass"
libavformat/thpenc.c,Unknown (likely Wii/GameCube),unresolved,"THP is a GameCube/Wii video format; a THP demuxer already exists in stock FFmpeg separately (libavformat/thp.c) -- whether thpenc.c is a genuinely new muxer addition or related to the mods/mo Wii path was not determined this pass"
rvid.py (mentioned in commit e562b22e5e's diff),Does not exist at current HEAD,verified,"confirmed absent via direct ls; whatever used it may already be gone, or moved elsewhere -- not traced further"
CREDITS_MOBICLIP.md (PlayMobic / MobiclipDecoder / Gericom x264 / WiiLink24 lineage),3DS required (as attribution),verified,"legally required attribution regardless of target platform; the research it documents underlies the shared codec, not a removable feature"
COPYING.GPLv2 / GPLv3 / LGPLv2.1 / LGPLv3 / LICENSE.md (upstream mobipeg),3DS required,verified,"upstream FFmpeg licensing; must be preserved verbatim per PUBLIC_REPOSITORY_PLAN.md"
mobipeg_release/mobipeg-gui-windows-x86_64.zip (compiled GUI binary),Reference only -- source now found,verified,"corrected from an earlier 'unknown provenance' classification: this IS built from encode_gui.py, confirmed via mobipeg-gui.spec. Treat as reference for behavior only; do not reverse-engineer or repackage the binary itself -- build the new GUI from source"
mobipeg_release/mobipeg-windows-x86_64.zip (compiled CLI-only ffmpeg.exe),Diagnostic/research only,verified,"prebuilt reference binary used for comparison during this session's work, not shipped source"
mobipeg/tests/official/* (official_1400k.moflex etc.),Diagnostic/research only,verified,"reference Nintendo-produced sample used for compatibility/quality comparison; copyrighted test media, excluded from public repo per user's own exclusion list"
"mobipeg/tests/bitstreams, /decoded, /metrics, /reports",Diagnostic/research only,verified,"investigation harness output; candidate for docs/research/ condensation, not raw inclusion"
"mobipeg/builds/{baseline,candidate,instrumented}",Diagnostic/research only,verified,"intermediate build snapshots from the investigation, superseded by the accepted Candidate B state"
mobipeg/patches/x264_qp_map_v1.txt,Diagnostic/research only,likely,"investigation-phase patch note; verify against MOBIPEG_PROJECT_STATE.md's description of the accepted Candidate B diff before excluding"
"mobipeg/research/{compression_gap_hypotheses.md, encoder_architecture.md}",Diagnostic/research only,verified,"explicitly research notes; belongs under docs/research/ in the new repo, not as top-level product docs"
mobipeg/project_state/MOBIPEG_PROJECT_STATE.md,3DS required (as historical record),verified,"the authoritative current-state document this whole investigation maintains; should carry forward into docs/research/ as the canonical history, not be discarded"
"All mobipeg/phase_*/pr_*/quality_*/x264_qp_compare_*/etc. dated directories",Diagnostic/research only,verified,"per-phase investigation worktrees and evidence; this session's own Step B/C reports are the durable output, the raw worktrees underneath are rebuildable from source and not needed in the public repo (already partially cleaned this session -- ~6GB of ffmpeg-*/x264-*/prefix-* worktrees removed)"
mivf-gui/ (entire tree),Out of scope (separate product),verified,"confirmed via encoder_capability.py: mivf-gui's actual encode pipeline is M2Y1/M2Y2 via miv2y_moflex_tier.exe, which links no x264 at all -- unrelated to mobipeg, explicitly out of scope per user clarification"
source/moflex/ (3DS player: decoder, playback, ui, ffmpeg_support),Shared with 3DS (decode side only),likely,"the on-console 3DS player/decoder, a different product than the encoder being planned here; it DOES decode mobiclip (source/moflex/decoder/mobiclip.c) for compatibility with official .moflex files, but building/shipping the encoder-side GUI does not require touching this tree -- flagged Shared rather than Required because the relationship needs a deliberate decision, not because it was traced function-by-function"
source/moflex/decoder/mobicompat.c / .h,Unknown,unresolved,"name suggests a compatibility shim; not traced this pass -- do not classify as removable without reading it first"
"Root-level C:\dev\MIVF directories not under mobipeg/ or source/ (150+ dated experiment/backup dirs)",Unknown,unresolved,"overwhelmingly belong to the separate MIVF player/toolkit investigation (pre-dates and is parallel to the mobipeg encoder work); out of scope for Mobipeg 3DS per user clarification, and not traced individually here -- do not delete or move any of these without a dedicated pass"
